,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,7.3086,7.096,6.9867,6.9143,6.9141,7.0433,7.3185,7.8406,8.6597,8.9506,8.9858,8.8961,8.5456,8.708,8.7873,8.8394,8.9749,8.797,8.447,8.1091,7.8254,7.4855,7.3882,7.5386
1,7.2506,7.0368,6.9057,6.8216,6.7882,6.8061,6.9159,7.0598,7.3312,7.3146,7.374,7.2918,7.0451,7.0522,7.0652,7.1328,7.3094,7.4004,7.4232,7.2796,7.1222,6.9024,6.9331,7.1259
2,6.9016,6.6797,6.525,6.4317,6.4098,6.4459,6.4882,6.4993,6.514,6.3661,6.3682,6.3093,6.2089,6.2194,6.2778,6.4543,6.6813,6.9439,7.0738,6.9913,6.8716,6.7209,6.7725,6.8749
3,6.6415,6.4357,6.326,6.2743,6.3238,6.4878,6.863,7.5014,8.4899,8.9038,9.0564,9.0503,8.734,8.9303,8.9758,8.9481,8.9824,8.7333,8.4111,8.0588,7.73,7.3692,7.2582,7.4455
4,7.1608,6.967,6.8467,6.7935,6.8101,6.9301,7.2617,7.7928,8.612,8.8089,8.667,8.3758,7.9558,8.1987,8.4014,8.5429,8.6635,8.4736,8.2125,7.9067,7.6045,7.271,7.1518,7.3255
5,7.0389,6.824,6.686,6.6064,6.6177,6.7252,7.0123,7.5242,8.2971,8.4235,8.2359,7.8997,7.3791,7.5361,7.6029,7.723,7.9665,7.8546,7.6696,7.4163,7.1883,6.9255,6.8252,6.9914
6,6.6746,6.4775,6.3565,6.333,6.3888,6.5322,6.8523,7.3841,8.0757,8.0501,7.8686,7.5711,7.0958,7.2641,7.352,7.4674,7.7159,7.7206,7.6347,7.4083,7.171,6.8953,6.7891,6.911
7,6.6149,6.362,6.213,6.1644,6.2022,6.3299,6.6269,7.1082,7.8032,7.8869,7.8279,7.6936,7.3618,7.6161,7.6666,7.6674,7.7067,7.5314,7.3908,7.1808,7.0103,6.7927,6.7006,6.9025
8,6.5871,6.3503,6.209,6.1578,6.1947,6.2762,6.4049,6.5843,6.8162,6.7499,6.7033,6.4903,6.1516,6.2137,6.2819,6.4335,6.6905,6.8347,6.9347,6.8524,6.7318,6.5729,6.6025,6.7841
9,6.5365,6.2845,6.1468,6.0746,6.088,6.15,6.2097,6.2496,6.2142,5.9172,5.7975,5.6686,5.5375,5.5638,5.6808,5.947,6.3246,6.6585,6.831,6.7743,6.6517,6.5138,6.5321,6.5885
10,6.3481,6.1426,6.0035,5.9848,6.0284,6.2258,6.616,7.2762,8.2242,8.591,8.6673,8.5407,8.101,8.2626,8.354,8.314,8.421,8.3005,8.1557,7.8688,7.5837,7.2489,7.1399,7.3003
11,7.0296,6.8321,6.7166,6.6696,6.7239,6.8622,7.1942,7.7321,8.4965,8.5348,8.3864,8.1109,7.6402,7.8006,7.8856,8.0275,8.3221,8.3393,8.2105,7.9413,7.6608,7.3081,7.1708,7.3434
12,7.0412,6.8255,6.6976,6.6517,6.6818,6.8071,7.134,7.665,8.3468,8.3109,8.1176,7.8031,7.2981,7.4564,7.5115,7.6249,7.8833,7.8552,7.7684,7.5598,7.3356,7.0473,6.9246,7.0789
13,6.7488,6.5112,6.38,6.3265,6.3646,6.5013,6.8033,7.2967,7.998,7.9815,7.8985,7.8637,7.5947,7.9046,8.0096,7.9945,8.0435,7.8514,7.6783,7.4042,7.149,6.8713,6.7515,6.8956
14,6.5738,6.3156,6.1788,6.123,6.1695,6.307,6.5879,7.0398,7.7484,7.9367,7.9026,7.7749,7.4568,7.694,7.7628,7.7201,7.7339,7.5177,7.3222,7.0819,6.8922,6.6134,6.5328,6.7155
15,6.3772,6.1232,5.9775,5.9183,5.9395,6.0245,6.1336,6.2496,6.4935,6.5119,6.537,6.4683,6.2771,6.3546,6.3708,6.3712,6.376,6.372,6.4352,6.3434,6.2342,6.0896,6.0952,6.2533
16,5.9645,5.7194,5.584,5.5339,5.5734,5.6512,5.7185,5.7361,5.7004,5.4526,5.3955,5.2535,5.181,5.2498,5.2331,5.3892,5.7034,5.9988,6.2157,6.1913,6.1057,6.0083,6.0259,6.0776
17,5.7931,5.562,5.4655,5.4553,5.5335,5.7527,6.1556,6.7487,7.5047,7.4827,7.3319,7.0572,6.6809,6.8251,6.8274,6.9101,7.1796,7.2051,7.2147,7.0447,6.8668,6.6403,6.5251,6.6605
18,6.3269,6.0853,5.9678,5.9224,5.9687,6.1221,6.4409,6.8914,7.6518,7.8892,7.919,7.8616,7.5662,7.7282,7.7661,7.7476,7.782,7.5725,7.4593,7.2333,7.0176,6.7293,6.6103,6.7662
19,6.4295,6.2087,6.1047,6.0744,6.1417,6.3002,6.6366,7.1362,7.7213,7.6086,7.3562,7.0505,6.6163,6.838,7.041,7.2666,7.4825,7.4465,7.4186,7.255,7.1004,6.8628,6.7451,6.8809
20,6.5455,6.315,6.1882,6.1433,6.212,6.3827,6.6844,7.1727,7.7571,7.7553,7.7723,7.8198,7.6435,7.8162,7.8259,7.8863,8.0655,8.0279,7.9639,7.7501,7.5061,7.1958,7.0951,7.2623
21,6.978,6.7571,6.6579,6.6021,6.6442,6.7779,7.1045,7.6274,8.3375,8.3971,8.2411,7.9294,7.4777,7.6298,7.7004,7.7943,8.0841,8.0764,7.9565,7.7089,7.4748,7.1618,7.0525,7.2421
22,6.9215,6.6916,6.5273,6.4328,6.419,6.4596,6.573,6.7051,6.8962,6.8293,6.8485,6.7032,6.3873,6.3375,6.27,6.2412,6.3702,6.5032,6.6689,6.6367,6.5222,6.3758,6.3807,6.5812
23,6.3063,6.0686,5.9311,5.8658,5.8753,5.9316,6.0052,6.0226,5.947,5.6512,5.616,5.4799,5.3442,5.3654,5.4675,5.6264,5.8663,6.1311,6.3574,6.3246,6.2475,6.1139,6.1139,6.1412
