,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
0,64942,62593,60905,59889,59638,59936,60193,59982,59626,57904,57604,56869,56191,56424,56691,58299,60425,62931,64176,63645,62754,61561,61979,63055,60658,58603,57309,56663,56733,57327,58378,59285,60669,59515,58770,57296,55466,55066,55493,57865,61407,64223,65082,64257,62981,61686,61962,64227,61992,59723,58310,57599,57518,58073,58877,59373,59434,56835,56485,55912,56037,57802,59465,61355,63202,65426,66473,65646,64815,63289,63706,64480,62078,60011,58936,58715,59233,61081,64908,71659,80766,82796,82045,79963,76537,79560,81315,81431,82840,81666,78838,75717,72867,69726,68460,70327,67267,64957,63471,63136,63564,65045,68221,73685,81609,83240,82327,80551,78100,80560,81611,82647,84497,83721,81513,78460,75423,72053,70992,72838,69834,67769,66454,66041,66425,67820,71258,76764,84638,85568,83607,81501,77331,79353,80703,82423,84890,84026,81286,78156,75065,71868,71204,72623,69787,67923,66797,66489,67004,68565,71857,76917,84978,88741,89725,88948,85653,87825,88570,88791,90195,88593,85675,82103,78767,75135,74165,75614
1,60658,58603,57309,56663,56733,57327,58378,59285,60669,59515,58770,57296,55466,55066,55493,57865,61407,64223,65082,64257,62981,61686,61962,64227,61992,59723,58310,57599,57518,58073,58877,59373,59434,56835,56485,55912,56037,57802,59465,61355,63202,65426,66473,65646,64815,63289,63706,64480,62078,60011,58936,58715,59233,61081,64908,71659,80766,82796,82045,79963,76537,79560,81315,81431,82840,81666,78838,75717,72867,69726,68460,70327,67267,64957,63471,63136,63564,65045,68221,73685,81609,83240,82327,80551,78100,80560,81611,82647,84497,83721,81513,78460,75423,72053,70992,72838,69834,67769,66454,66041,66425,67820,71258,76764,84638,85568,83607,81501,77331,79353,80703,82423,84890,84026,81286,78156,75065,71868,71204,72623,69787,67923,66797,66489,67004,68565,71857,76917,84978,88741,89725,88948,85653,87825,88570,88791,90195,88593,85675,82103,78767,75135,74165,75614,73086,70960,69867,69143,69141,70433,73185,78406,86597,89506,89858,88961,85456,87080,87873,88394,89749,87970,84470,81091,78254,74855,73882,75386
2,61992,59723,58310,57599,57518,58073,58877,59373,59434,56835,56485,55912,56037,57802,59465,61355,63202,65426,66473,65646,64815,63289,63706,64480,62078,60011,58936,58715,59233,61081,64908,71659,80766,82796,82045,79963,76537,79560,81315,81431,82840,81666,78838,75717,72867,69726,68460,70327,67267,64957,63471,63136,63564,65045,68221,73685,81609,83240,82327,80551,78100,80560,81611,82647,84497,83721,81513,78460,75423,72053,70992,72838,69834,67769,66454,66041,66425,67820,71258,76764,84638,85568,83607,81501,77331,79353,80703,82423,84890,84026,81286,78156,75065,71868,71204,72623,69787,67923,66797,66489,67004,68565,71857,76917,84978,88741,89725,88948,85653,87825,88570,88791,90195,88593,85675,82103,78767,75135,74165,75614,73086,70960,69867,69143,69141,70433,73185,78406,86597,89506,89858,88961,85456,87080,87873,88394,89749,87970,84470,81091,78254,74855,73882,75386,72506,70368,69057,68216,67882,68061,69159,70598,73312,73146,73740,72918,70451,70522,70652,71328,73094,74004,74232,72796,71222,69024,69331,71259
3,62078,60011,58936,58715,59233,61081,64908,71659,80766,82796,82045,79963,76537,79560,81315,81431,82840,81666,78838,75717,72867,69726,68460,70327,67267,64957,63471,63136,63564,65045,68221,73685,81609,83240,82327,80551,78100,80560,81611,82647,84497,83721,81513,78460,75423,72053,70992,72838,69834,67769,66454,66041,66425,67820,71258,76764,84638,85568,83607,81501,77331,79353,80703,82423,84890,84026,81286,78156,75065,71868,71204,72623,69787,67923,66797,66489,67004,68565,71857,76917,84978,88741,89725,88948,85653,87825,88570,88791,90195,88593,85675,82103,78767,75135,74165,75614,73086,70960,69867,69143,69141,70433,73185,78406,86597,89506,89858,88961,85456,87080,87873,88394,89749,87970,84470,81091,78254,74855,73882,75386,72506,70368,69057,68216,67882,68061,69159,70598,73312,73146,73740,72918,70451,70522,70652,71328,73094,74004,74232,72796,71222,69024,69331,71259,69016,66797,65250,64317,64098,64459,64882,64993,65140,63661,63682,63093,62089,62194,62778,64543,66813,69439,70738,69913,68716,67209,67725,68749
4,67267,64957,63471,63136,63564,65045,68221,73685,81609,83240,82327,80551,78100,80560,81611,82647,84497,83721,81513,78460,75423,72053,70992,72838,69834,67769,66454,66041,66425,67820,71258,76764,84638,85568,83607,81501,77331,79353,80703,82423,84890,84026,81286,78156,75065,71868,71204,72623,69787,67923,66797,66489,67004,68565,71857,76917,84978,88741,89725,88948,85653,87825,88570,88791,90195,88593,85675,82103,78767,75135,74165,75614,73086,70960,69867,69143,69141,70433,73185,78406,86597,89506,89858,88961,85456,87080,87873,88394,89749,87970,84470,81091,78254,74855,73882,75386,72506,70368,69057,68216,67882,68061,69159,70598,73312,73146,73740,72918,70451,70522,70652,71328,73094,74004,74232,72796,71222,69024,69331,71259,69016,66797,65250,64317,64098,64459,64882,64993,65140,63661,63682,63093,62089,62194,62778,64543,66813,69439,70738,69913,68716,67209,67725,68749,66415,64357,63260,62743,63238,64878,68630,75014,84899,89038,90564,90503,87340,89303,89758,89481,89824,87333,84111,80588,77300,73692,72582,74455
5,69834,67769,66454,66041,66425,67820,71258,76764,84638,85568,83607,81501,77331,79353,80703,82423,84890,84026,81286,78156,75065,71868,71204,72623,69787,67923,66797,66489,67004,68565,71857,76917,84978,88741,89725,88948,85653,87825,88570,88791,90195,88593,85675,82103,78767,75135,74165,75614,73086,70960,69867,69143,69141,70433,73185,78406,86597,89506,89858,88961,85456,87080,87873,88394,89749,87970,84470,81091,78254,74855,73882,75386,72506,70368,69057,68216,67882,68061,69159,70598,73312,73146,73740,72918,70451,70522,70652,71328,73094,74004,74232,72796,71222,69024,69331,71259,69016,66797,65250,64317,64098,64459,64882,64993,65140,63661,63682,63093,62089,62194,62778,64543,66813,69439,70738,69913,68716,67209,67725,68749,66415,64357,63260,62743,63238,64878,68630,75014,84899,89038,90564,90503,87340,89303,89758,89481,89824,87333,84111,80588,77300,73692,72582,74455,71608,69670,68467,67935,68101,69301,72617,77928,86120,88089,86670,83758,79558,81987,84014,85429,86635,84736,82125,79067,76045,72710,71518,73255
6,69787,67923,66797,66489,67004,68565,71857,76917,84978,88741,89725,88948,85653,87825,88570,88791,90195,88593,85675,82103,78767,75135,74165,75614,73086,70960,69867,69143,69141,70433,73185,78406,86597,89506,89858,88961,85456,87080,87873,88394,89749,87970,84470,81091,78254,74855,73882,75386,72506,70368,69057,68216,67882,68061,69159,70598,73312,73146,73740,72918,70451,70522,70652,71328,73094,74004,74232,72796,71222,69024,69331,71259,69016,66797,65250,64317,64098,64459,64882,64993,65140,63661,63682,63093,62089,62194,62778,64543,66813,69439,70738,69913,68716,67209,67725,68749,66415,64357,63260,62743,63238,64878,68630,75014,84899,89038,90564,90503,87340,89303,89758,89481,89824,87333,84111,80588,77300,73692,72582,74455,71608,69670,68467,67935,68101,69301,72617,77928,86120,88089,86670,83758,79558,81987,84014,85429,86635,84736,82125,79067,76045,72710,71518,73255,70389,68240,66860,66064,66177,67252,70123,75242,82971,84235,82359,78997,73791,75361,76029,77230,79665,78546,76696,74163,71883,69255,68252,69914
7,73086,70960,69867,69143,69141,70433,73185,78406,86597,89506,89858,88961,85456,87080,87873,88394,89749,87970,84470,81091,78254,74855,73882,75386,72506,70368,69057,68216,67882,68061,69159,70598,73312,73146,73740,72918,70451,70522,70652,71328,73094,74004,74232,72796,71222,69024,69331,71259,69016,66797,65250,64317,64098,64459,64882,64993,65140,63661,63682,63093,62089,62194,62778,64543,66813,69439,70738,69913,68716,67209,67725,68749,66415,64357,63260,62743,63238,64878,68630,75014,84899,89038,90564,90503,87340,89303,89758,89481,89824,87333,84111,80588,77300,73692,72582,74455,71608,69670,68467,67935,68101,69301,72617,77928,86120,88089,86670,83758,79558,81987,84014,85429,86635,84736,82125,79067,76045,72710,71518,73255,70389,68240,66860,66064,66177,67252,70123,75242,82971,84235,82359,78997,73791,75361,76029,77230,79665,78546,76696,74163,71883,69255,68252,69914,66746,64775,63565,63330,63888,65322,68523,73841,80757,80501,78686,75711,70958,72641,73520,74674,77159,77206,76347,74083,71710,68953,67891,69110
8,72506,70368,69057,68216,67882,68061,69159,70598,73312,73146,73740,72918,70451,70522,70652,71328,73094,74004,74232,72796,71222,69024,69331,71259,69016,66797,65250,64317,64098,64459,64882,64993,65140,63661,63682,63093,62089,62194,62778,64543,66813,69439,70738,69913,68716,67209,67725,68749,66415,64357,63260,62743,63238,64878,68630,75014,84899,89038,90564,90503,87340,89303,89758,89481,89824,87333,84111,80588,77300,73692,72582,74455,71608,69670,68467,67935,68101,69301,72617,77928,86120,88089,86670,83758,79558,81987,84014,85429,86635,84736,82125,79067,76045,72710,71518,73255,70389,68240,66860,66064,66177,67252,70123,75242,82971,84235,82359,78997,73791,75361,76029,77230,79665,78546,76696,74163,71883,69255,68252,69914,66746,64775,63565,63330,63888,65322,68523,73841,80757,80501,78686,75711,70958,72641,73520,74674,77159,77206,76347,74083,71710,68953,67891,69110,66149,63620,62130,61644,62022,63299,66269,71082,78032,78869,78279,76936,73618,76161,76666,76674,77067,75314,73908,71808,70103,67927,67006,69025
9,69016,66797,65250,64317,64098,64459,64882,64993,65140,63661,63682,63093,62089,62194,62778,64543,66813,69439,70738,69913,68716,67209,67725,68749,66415,64357,63260,62743,63238,64878,68630,75014,84899,89038,90564,90503,87340,89303,89758,89481,89824,87333,84111,80588,77300,73692,72582,74455,71608,69670,68467,67935,68101,69301,72617,77928,86120,88089,86670,83758,79558,81987,84014,85429,86635,84736,82125,79067,76045,72710,71518,73255,70389,68240,66860,66064,66177,67252,70123,75242,82971,84235,82359,78997,73791,75361,76029,77230,79665,78546,76696,74163,71883,69255,68252,69914,66746,64775,63565,63330,63888,65322,68523,73841,80757,80501,78686,75711,70958,72641,73520,74674,77159,77206,76347,74083,71710,68953,67891,69110,66149,63620,62130,61644,62022,63299,66269,71082,78032,78869,78279,76936,73618,76161,76666,76674,77067,75314,73908,71808,70103,67927,67006,69025,65871,63503,62090,61578,61947,62762,64049,65843,68162,67499,67033,64903,61516,62137,62819,64335,66905,68347,69347,68524,67318,65729,66025,67841
