,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
0,0.0,1.55,0.0,0.719,0.533,0.586,0.809,0.882,1.077,1.574,2.059,0.0,3.206,3.498,3.453,0.0,3.359,0.0,2.899,0.0,2.134,1.845,0.0,1.28,0.0,0.633,0.655,0.659,0.378,0.61,1.043,1.44,1.88,2.715,3.153,0.0,4.236,4.426,0.0,4.513,0.0,4.498,0.0,3.148,0.0,2.649,2.552,1.83,0.931,0.633,0.0,0.659,0.0,0.606,0.0,1.347,0.0,2.484,0.0,3.286,3.755,0.0,4.369,0.0,4.052,0.0,3.278,0.0,1.813,0.0,1.415,0.0,0.476,0.0,0.27,0.41,0.0,2.672,5.532,6.234,5.67,4.637,4.057,4.235,0.0,4.667,0.0,5.618,0.0,6.053,0.0,2.834,0.0,1.902,1.389,0.0,0.489,0.351,0.0,0.309,0.0,2.692,5.734,6.525,5.762,4.836,4.166,0.0,4.671,4.708,5.188,0.0,6.487,0.0,4.306,0.0,2.492,0.0,1.432,0.972,0.757,0.555,0.426,0.475,1.007,2.772,5.765,6.716,0.0,5.104,0.0,4.568,4.699,4.889,0.0,5.623,0.0,6.071,0.0,2.815,0.0,2.077,0.0,0.926,0.558,0.323,0.315,0.524,1.081,2.842,0.0,6.27,0.0,4.839,0.0,4.517,4.879,4.738,0.0,5.811,6.438,0.0,0.0,3.099,0.0,2.91,0.0,1.241
1,0.0,0.633,0.655,0.659,0.378,0.61,1.043,1.44,1.88,2.715,3.153,0.0,4.236,4.426,0.0,4.513,0.0,4.498,0.0,3.148,0.0,2.649,2.552,1.83,0.931,0.633,0.0,0.659,0.0,0.606,0.0,1.347,0.0,2.484,0.0,3.286,3.755,0.0,4.369,0.0,4.052,0.0,3.278,0.0,1.813,0.0,1.415,0.0,0.476,0.0,0.27,0.41,0.0,2.672,5.532,6.234,5.67,4.637,4.057,4.235,0.0,4.667,0.0,5.618,0.0,6.053,0.0,2.834,0.0,1.902,1.389,0.0,0.489,0.351,0.0,0.309,0.0,2.692,5.734,6.525,5.762,4.836,4.166,0.0,4.671,4.708,5.188,0.0,6.487,0.0,4.306,0.0,2.492,0.0,1.432,0.972,0.757,0.555,0.426,0.475,1.007,2.772,5.765,6.716,0.0,5.104,0.0,4.568,4.699,4.889,0.0,5.623,0.0,6.071,0.0,2.815,0.0,2.077,0.0,0.926,0.558,0.323,0.315,0.524,1.081,2.842,0.0,6.27,0.0,4.839,0.0,4.517,4.879,4.738,0.0,5.811,6.438,0.0,0.0,3.099,0.0,2.91,0.0,1.241,0.628,0.359,0.0,0.401,0.815,2.547,0.0,5.96,0.0,4.749,4.428,0.0,4.879,4.933,0.0,5.548,0.0,5.982,0.0,3.233,0.0,2.506,0.0,1.514
2,0.931,0.633,0.0,0.659,0.0,0.606,0.0,1.347,0.0,2.484,0.0,3.286,3.755,0.0,4.369,0.0,4.052,0.0,3.278,0.0,1.813,0.0,1.415,0.0,0.476,0.0,0.27,0.41,0.0,2.672,5.532,6.234,5.67,4.637,4.057,4.235,0.0,4.667,0.0,5.618,0.0,6.053,0.0,2.834,0.0,1.902,1.389,0.0,0.489,0.351,0.0,0.309,0.0,2.692,5.734,6.525,5.762,4.836,4.166,0.0,4.671,4.708,5.188,0.0,6.487,0.0,4.306,0.0,2.492,0.0,1.432,0.972,0.757,0.555,0.426,0.475,1.007,2.772,5.765,6.716,0.0,5.104,0.0,4.568,4.699,4.889,0.0,5.623,0.0,6.071,0.0,2.815,0.0,2.077,0.0,0.926,0.558,0.323,0.315,0.524,1.081,2.842,0.0,6.27,0.0,4.839,0.0,4.517,4.879,4.738,0.0,5.811,6.438,0.0,0.0,3.099,0.0,2.91,0.0,1.241,0.628,0.359,0.0,0.401,0.815,2.547,0.0,5.96,0.0,4.749,4.428,0.0,4.879,4.933,0.0,5.548,0.0,5.982,0.0,3.233,0.0,2.506,0.0,1.514,1.107,0.69,0.48,0.0,0.273,0.0,0.85,0.0,1.885,0.0,3.908,0.0,4.984,0.0,4.57,0.0,4.237,0.0,3.861,0.0,2.491,0.0,2.172,0.0
3,0.476,0.0,0.27,0.41,0.0,2.672,5.532,6.234,5.67,4.637,4.057,4.235,0.0,4.667,0.0,5.618,0.0,6.053,0.0,2.834,0.0,1.902,1.389,0.0,0.489,0.351,0.0,0.309,0.0,2.692,5.734,6.525,5.762,4.836,4.166,0.0,4.671,4.708,5.188,0.0,6.487,0.0,4.306,0.0,2.492,0.0,1.432,0.972,0.757,0.555,0.426,0.475,1.007,2.772,5.765,6.716,0.0,5.104,0.0,4.568,4.699,4.889,0.0,5.623,0.0,6.071,0.0,2.815,0.0,2.077,0.0,0.926,0.558,0.323,0.315,0.524,1.081,2.842,0.0,6.27,0.0,4.839,0.0,4.517,4.879,4.738,0.0,5.811,6.438,0.0,0.0,3.099,0.0,2.91,0.0,1.241,0.628,0.359,0.0,0.401,0.815,2.547,0.0,5.96,0.0,4.749,4.428,0.0,4.879,4.933,0.0,5.548,0.0,5.982,0.0,3.233,0.0,2.506,0.0,1.514,1.107,0.69,0.48,0.0,0.273,0.0,0.85,0.0,1.885,0.0,3.908,0.0,4.984,0.0,4.57,0.0,4.237,0.0,3.861,0.0,2.491,0.0,2.172,0.0,1.107,0.0,0.48,0.0,0.273,0.0,0.748,0.0,1.721,2.779,3.919,3.973,3.393,3.258,0.0,3.601,0.0,3.24,0.0,2.501,0.0,2.941,0.0,0.805
4,0.489,0.351,0.0,0.309,0.0,2.692,5.734,6.525,5.762,4.836,4.166,0.0,4.671,4.708,5.188,0.0,6.487,0.0,4.306,0.0,2.492,0.0,1.432,0.972,0.757,0.555,0.426,0.475,1.007,2.772,5.765,6.716,0.0,5.104,0.0,4.568,4.699,4.889,0.0,5.623,0.0,6.071,0.0,2.815,0.0,2.077,0.0,0.926,0.558,0.323,0.315,0.524,1.081,2.842,0.0,6.27,0.0,4.839,0.0,4.517,4.879,4.738,0.0,5.811,6.438,0.0,0.0,3.099,0.0,2.91,0.0,1.241,0.628,0.359,0.0,0.401,0.815,2.547,0.0,5.96,0.0,4.749,4.428,0.0,4.879,4.933,0.0,5.548,0.0,5.982,0.0,3.233,0.0,2.506,0.0,1.514,1.107,0.69,0.48,0.0,0.273,0.0,0.85,0.0,1.885,0.0,3.908,0.0,4.984,0.0,4.57,0.0,4.237,0.0,3.861,0.0,2.491,0.0,2.172,0.0,1.107,0.0,0.48,0.0,0.273,0.0,0.748,0.0,1.721,2.779,3.919,3.973,3.393,3.258,0.0,3.601,0.0,3.24,0.0,2.501,0.0,2.941,0.0,0.805,0.483,0.269,0.0,0.284,0.83,0.0,4.873,0.0,5.494,0.0,3.921,4.135,0.0,4.477,0.0,5.54,0.0,5.31,0.0,2.535,0.0,1.963,1.215,0.0
5,0.757,0.555,0.426,0.475,1.007,2.772,5.765,6.716,0.0,5.104,0.0,4.568,4.699,4.889,0.0,5.623,0.0,6.071,0.0,2.815,0.0,2.077,0.0,0.926,0.558,0.323,0.315,0.524,1.081,2.842,0.0,6.27,0.0,4.839,0.0,4.517,4.879,4.738,0.0,5.811,6.438,0.0,0.0,3.099,0.0,2.91,0.0,1.241,0.628,0.359,0.0,0.401,0.815,2.547,0.0,5.96,0.0,4.749,4.428,0.0,4.879,4.933,0.0,5.548,0.0,5.982,0.0,3.233,0.0,2.506,0.0,1.514,1.107,0.69,0.48,0.0,0.273,0.0,0.85,0.0,1.885,0.0,3.908,0.0,4.984,0.0,4.57,0.0,4.237,0.0,3.861,0.0,2.491,0.0,2.172,0.0,1.107,0.0,0.48,0.0,0.273,0.0,0.748,0.0,1.721,2.779,3.919,3.973,3.393,3.258,0.0,3.601,0.0,3.24,0.0,2.501,0.0,2.941,0.0,0.805,0.483,0.269,0.0,0.284,0.83,0.0,4.873,0.0,5.494,0.0,3.921,4.135,0.0,4.477,0.0,5.54,0.0,5.31,0.0,2.535,0.0,1.963,1.215,0.0,0.484,0.326,0.0,0.331,0.863,2.577,5.285,0.0,5.207,0.0,4.07,4.221,0.0,4.636,0.0,5.638,0.0,6.062,0.0,2.972,0.0,3.424,0.0,1.049
6,0.558,0.323,0.315,0.524,1.081,2.842,0.0,6.27,0.0,4.839,0.0,4.517,4.879,4.738,0.0,5.811,6.438,0.0,0.0,3.099,0.0,2.91,0.0,1.241,0.628,0.359,0.0,0.401,0.815,2.547,0.0,5.96,0.0,4.749,4.428,0.0,4.879,4.933,0.0,5.548,0.0,5.982,0.0,3.233,0.0,2.506,0.0,1.514,1.107,0.69,0.48,0.0,0.273,0.0,0.85,0.0,1.885,0.0,3.908,0.0,4.984,0.0,4.57,0.0,4.237,0.0,3.861,0.0,2.491,0.0,2.172,0.0,1.107,0.0,0.48,0.0,0.273,0.0,0.748,0.0,1.721,2.779,3.919,3.973,3.393,3.258,0.0,3.601,0.0,3.24,0.0,2.501,0.0,2.941,0.0,0.805,0.483,0.269,0.0,0.284,0.83,0.0,4.873,0.0,5.494,0.0,3.921,4.135,0.0,4.477,0.0,5.54,0.0,5.31,0.0,2.535,0.0,1.963,1.215,0.0,0.484,0.326,0.0,0.331,0.863,2.577,5.285,0.0,5.207,0.0,4.07,4.221,0.0,4.636,0.0,5.638,0.0,6.062,0.0,2.972,0.0,3.424,0.0,1.049,0.655,0.0,0.486,0.0,0.948,0.0,5.587,0.0,6.191,0.0,4.222,0.0,4.639,0.0,5.167,0.0,6.636,0.0,4.648,0.0,2.702,0.0,1.587,1.049
7,0.628,0.359,0.0,0.401,0.815,2.547,0.0,5.96,0.0,4.749,4.428,0.0,4.879,4.933,0.0,5.548,0.0,5.982,0.0,3.233,0.0,2.506,0.0,1.514,1.107,0.69,0.48,0.0,0.273,0.0,0.85,0.0,1.885,0.0,3.908,0.0,4.984,0.0,4.57,0.0,4.237,0.0,3.861,0.0,2.491,0.0,2.172,0.0,1.107,0.0,0.48,0.0,0.273,0.0,0.748,0.0,1.721,2.779,3.919,3.973,3.393,3.258,0.0,3.601,0.0,3.24,0.0,2.501,0.0,2.941,0.0,0.805,0.483,0.269,0.0,0.284,0.83,0.0,4.873,0.0,5.494,0.0,3.921,4.135,0.0,4.477,0.0,5.54,0.0,5.31,0.0,2.535,0.0,1.963,1.215,0.0,0.484,0.326,0.0,0.331,0.863,2.577,5.285,0.0,5.207,0.0,4.07,4.221,0.0,4.636,0.0,5.638,0.0,6.062,0.0,2.972,0.0,3.424,0.0,1.049,0.655,0.0,0.486,0.0,0.948,0.0,5.587,0.0,6.191,0.0,4.222,0.0,4.639,0.0,5.167,0.0,6.636,0.0,4.648,0.0,2.702,0.0,1.587,1.049,0.0,0.351,0.0,0.0,0.835,0.0,5.136,0.0,5.714,0.0,4.297,0.0,4.754,0.0,5.462,0.0,6.713,0.0,4.437,0.0,2.826,0.0,1.871,0.0
8,1.107,0.69,0.48,0.0,0.273,0.0,0.85,0.0,1.885,0.0,3.908,0.0,4.984,0.0,4.57,0.0,4.237,0.0,3.861,0.0,2.491,0.0,2.172,0.0,1.107,0.0,0.48,0.0,0.273,0.0,0.748,0.0,1.721,2.779,3.919,3.973,3.393,3.258,0.0,3.601,0.0,3.24,0.0,2.501,0.0,2.941,0.0,0.805,0.483,0.269,0.0,0.284,0.83,0.0,4.873,0.0,5.494,0.0,3.921,4.135,0.0,4.477,0.0,5.54,0.0,5.31,0.0,2.535,0.0,1.963,1.215,0.0,0.484,0.326,0.0,0.331,0.863,2.577,5.285,0.0,5.207,0.0,4.07,4.221,0.0,4.636,0.0,5.638,0.0,6.062,0.0,2.972,0.0,3.424,0.0,1.049,0.655,0.0,0.486,0.0,0.948,0.0,5.587,0.0,6.191,0.0,4.222,0.0,4.639,0.0,5.167,0.0,6.636,0.0,4.648,0.0,2.702,0.0,1.587,1.049,0.0,0.351,0.0,0.0,0.835,0.0,5.136,0.0,5.714,0.0,4.297,0.0,4.754,0.0,5.462,0.0,6.713,0.0,4.437,0.0,2.826,0.0,1.871,0.0,0.753,0.481,0.0,0.0,0.829,0.0,5.394,0.0,5.502,0.0,4.447,0.0,5.154,0.0,5.563,0.0,6.483,0.0,4.799,0.0,2.942,0.0,3.324,1.7
9,1.107,0.0,0.48,0.0,0.273,0.0,0.748,0.0,1.721,2.779,3.919,3.973,3.393,3.258,0.0,3.601,0.0,3.24,0.0,2.501,0.0,2.941,0.0,0.805,0.483,0.269,0.0,0.284,0.83,0.0,4.873,0.0,5.494,0.0,3.921,4.135,0.0,4.477,0.0,5.54,0.0,5.31,0.0,2.535,0.0,1.963,1.215,0.0,0.484,0.326,0.0,0.331,0.863,2.577,5.285,0.0,5.207,0.0,4.07,4.221,0.0,4.636,0.0,5.638,0.0,6.062,0.0,2.972,0.0,3.424,0.0,1.049,0.655,0.0,0.486,0.0,0.948,0.0,5.587,0.0,6.191,0.0,4.222,0.0,4.639,0.0,5.167,0.0,6.636,0.0,4.648,0.0,2.702,0.0,1.587,1.049,0.0,0.351,0.0,0.0,0.835,0.0,5.136,0.0,5.714,0.0,4.297,0.0,4.754,0.0,5.462,0.0,6.713,0.0,4.437,0.0,2.826,0.0,1.871,0.0,0.753,0.481,0.0,0.0,0.829,0.0,5.394,0.0,5.502,0.0,4.447,0.0,5.154,0.0,5.563,0.0,6.483,0.0,4.799,0.0,2.942,0.0,3.324,1.7,1.467,1.033,0.738,0.0,0.0,0.688,1.211,1.87,2.603,0.0,3.746,4.207,4.601,0.0,4.632,0.0,4.636,0.0,3.917,0.0,2.683,0.0,2.349,2.082
