t,beta,y_true,avg_ensemble_pred,squared_error,overall_rmse,avg_base_pred_mae,avg_w_mae,avg_base_pred_mape,avg_w_mape,avg_base_pred_mase,avg_w_mase,avg_base_pred_mse,avg_w_mse,avg_base_pred_smape,avg_w_smape
0,3,63.79,46.8414924550025,287.25193903648216,25.322184880929143,46.43761050000006,0.98997498405906,0.3886834254999997,7.1447232843238135e-59,86.72503199999996,0.010024969661253323,84.82885699999999,4.627968747564158e-08,21.129335999999988,1.5650106181456606e-40
1,3,63.62,44.6432061989471,360.1186624288759,25.322184880929143,44.65379249999998,0.98997498405906,0.07425140000000005,7.1447232843238135e-59,43.59772999999998,0.010024969661253323,59.638119000000046,4.627968747564158e-08,80.13310300000009,1.5650106181456606e-40
2,3,64.25,52.78268989258414,131.499201099642,25.322184880929143,52.761961500000005,0.98997498405906,0.04041395999999998,7.1447232843238135e-59,54.82948500000004,0.010024969661253323,85.86985000000003,4.627968747564158e-08,61.78409849999994,1.5650106181456606e-40
3,3,63.75,69.52076319774405,33.301707884437086,25.322184880929143,69.584515,0.98997498405906,0.2733376439999998,7.1447232843238135e-59,63.22517749999998,0.010024969661253323,77.43346999999996,4.627968747564158e-08,-32.43244849999998,1.5650106181456606e-40
4,3,63.14,60.96302344676452,4.739224255895336,25.322184880929143,60.87069199999997,0.98997498405906,0.13927471000000022,7.1447232843238135e-59,70.08100349999997,0.010024969661253323,25.291504499999984,4.627968747564158e-08,33.06802300000002,1.5650106181456606e-40
5,3,63.52,68.25338815048103,22.404959049568152,25.322184880929143,68.42253750000005,0.98997498405906,0.2987899499999998,7.1447232843238135e-59,51.54966299999995,0.010024969661253323,83.66554749999989,4.627968747564158e-08,32.04100049999995,1.5650106181456606e-40
6,3,62.74,63.04932643318035,0.09568180387859816,25.322184880929143,63.38331999999995,0.98997498405906,-0.3485075994999997,7.1447232843238135e-59,30.067185500000033,0.010024969661253323,56.26946700000004,4.627968747564158e-08,94.77024999999996,1.5650106181456606e-40
7,3,63.05,60.91034046890672,4.578139644137562,25.322184880929143,60.83628875000008,0.98997498405906,0.3600690399999995,7.1447232843238135e-59,68.22309300000005,0.010024969661253323,44.20711000000003,4.627968747564158e-08,21.745837500000004,1.5650106181456606e-40
8,3,63.2,78.041852175983,220.2805533668626,25.322184880929143,78.17981499999998,0.98997498405906,-0.08567841900000005,7.1447232843238135e-59,64.41801149999996,0.010024969661253323,53.08359299999997,4.627968747564158e-08,-28.16752199999998,1.5650106181456606e-40
9,3,62.89,37.63341371707157,637.8951198362151,25.322184880929143,37.42459950000005,0.98997498405906,0.16133140600000018,7.1447232843238135e-59,58.25392899999998,0.010024969661253323,55.159590000000044,4.627968747564158e-08,39.887224000000046,1.5650106181456606e-40
10,3,62.78,52.66207673688342,102.37234645635604,25.322184880929143,52.56529850000002,0.98997498405906,-0.11741653250000005,7.1447232843238135e-59,62.21872799999996,0.010024969661253323,115.20657750000008,4.627968747564158e-08,30.763774499999972,1.5650106181456606e-40
11,3,62.89,26.56133196978962,1319.7720765027116,25.322184880929143,26.350878749999996,0.98997498405906,-0.10067471799999994,7.1447232843238135e-59,47.34363800000001,0.010024969661253323,57.57845349999995,4.627968747564158e-08,32.512210000000024,1.5650106181456606e-40
12,3,62.72,41.65724974206227,443.63949985098753,25.322184880929143,41.36973250000003,0.98997498405906,-0.02594868809999997,7.1447232843238135e-59,70.04989500000006,0.010024969661253323,30.20111649999997,4.627968747564158e-08,64.97570300000004,1.5650106181456606e-40
13,3,62.5,48.54002779306685,194.88082401834606,25.322184880929143,48.313402499999974,0.98997498405906,-0.24882094500000015,7.1447232843238135e-59,70.91944000000002,0.010024969661253323,58.10102700000003,4.627968747564158e-08,20.79786850000002,1.5650106181456606e-40
14,3,62.44,42.05829716942778,415.4137542937387,25.322184880929143,41.98842999999994,0.98997498405906,0.009693200000000013,7.1447232843238135e-59,48.957819000000015,0.010024969661253323,25.91540280000002,4.627968747564158e-08,42.315931000000035,1.5650106181456606e-40
15,3,62.78,52.819561224873766,99.2103162755622,25.322184880929143,52.50514000000004,0.98997498405906,0.04909897249999997,7.1447232843238135e-59,83.86901149999996,0.010024969661253323,38.77615534999997,4.627968747564158e-08,-20.024362500000024,1.5650106181456606e-40
