,w_mae,w_mae,w_mape,w_mape,w_mase,w_mase,w_mse,w_mse,w_smape,w_smape
,mean,std,mean,std,mean,std,mean,std,mean,std
beta,,,,,,,,,,
1.0,0.819705,0.0,0.0,0.0,0.177342,0.0,0.002953,0.0,0.0,0.0
1.2,0.861729,0.0,0.0,0.0,0.137263,0.0,0.001008,0.0,0.0,0.0
1.4,0.894729,0.0,0.0,0.0,0.104931,0.0,0.00034,0.0,0.0,0.0
1.6,0.920412,0.0,0.0,0.0,0.079474,0.0,0.000113,0.0,0.0,0.0
1.8,0.940191,0.0,0.0,0.0,0.059771,0.0,3.8e-05,0.0,0.0,0.0
2.0,0.955275,0.0,0.0,0.0,0.044713,0.0,1.2e-05,0.0,0.0,0.0
2.2,0.966682,0.0,0.0,0.0,0.033314,0.0,4e-06,0.0,0.0,0.0
2.4,0.975254,0.0,0.0,0.0,0.024745,0.0,1e-06,0.0,0.0,0.0
2.6,0.981661,0.0,0.0,0.0,0.018338,0.0,0.0,0.0,0.0,0.0
2.8,0.986432,0.0,0.0,0.0,0.013567,0.0,0.0,0.0,0.0,0.0
3.0,0.989975,0.0,0.0,0.0,0.010025,0.0,0.0,0.0,0.0,0.0
3.2,0.992599,0.0,0.0,0.0,0.007401,0.0,0.0,0.0,0.0,0.0
3.4,0.994541,0.0,0.0,0.0,0.005459,0.0,0.0,0.0,0.0,0.0
3.6,0.995975,0.0,0.0,0.0,0.004025,0.0,0.0,0.0,0.0,0.0
3.8,0.997033,0.0,0.0,0.0,0.002967,0.0,0.0,0.0,0.0,0.0
4.0,0.997814,0.0,0.0,0.0,0.002186,0.0,0.0,0.0,0.0,0.0
4.2,0.99839,0.0,0.0,0.0,0.00161,0.0,0.0,0.0,0.0,0.0
4.4,0.998814,0.0,0.0,0.0,0.001186,0.0,0.0,0.0,0.0,0.0
4.6,0.999126,0.0,0.0,0.0,0.000874,0.0,0.0,0.0,0.0,0.0
4.8,0.999357,0.0,0.0,0.0,0.000643,0.0,0.0,0.0,0.0,0.0
5.0,0.999526,0.0,0.0,0.0,0.000474,0.0,0.0,0.0,0.0,0.0
5.2,0.999651,0.0,0.0,0.0,0.000349,0.0,0.0,0.0,0.0,0.0
5.4,0.999743,0.0,0.0,0.0,0.000257,0.0,0.0,0.0,0.0,0.0
5.6,0.999811,0.0,0.0,0.0,0.000189,0.0,0.0,0.0,0.0,0.0
5.8,0.999861,0.0,0.0,0.0,0.000139,0.0,0.0,0.0,0.0,0.0
6.0,0.999897,0.0,0.0,0.0,0.000103,0.0,0.0,0.0,0.0,0.0
6.2,0.999925,0.0,0.0,0.0,7.5e-05,0.0,0.0,0.0,0.0,0.0
6.4,0.999944,0.0,0.0,0.0,5.6e-05,0.0,0.0,0.0,0.0,0.0
6.6,0.999959,0.0,0.0,0.0,4.1e-05,0.0,0.0,0.0,0.0,0.0
6.8,0.99997,0.0,0.0,0.0,3e-05,0.0,0.0,0.0,0.0,0.0
7.0,0.999978,0.0,0.0,0.0,2.2e-05,0.0,0.0,0.0,0.0,0.0
7.2,0.999984,0.0,0.0,0.0,1.6e-05,0.0,0.0,0.0,0.0,0.0
7.4,0.999988,0.0,0.0,0.0,1.2e-05,0.0,0.0,0.0,0.0,0.0
7.6,0.999991,0.0,0.0,0.0,9e-06,0.0,0.0,0.0,0.0,0.0
7.8,0.999993,0.0,0.0,0.0,7e-06,0.0,0.0,0.0,0.0,0.0
8.0,0.999995,0.0,0.0,0.0,5e-06,0.0,0.0,0.0,0.0,0.0
8.2,0.999996,0.0,0.0,0.0,4e-06,0.0,0.0,0.0,0.0,0.0
8.4,0.999997,0.0,0.0,0.0,3e-06,0.0,0.0,0.0,0.0,0.0
8.6,0.999998,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0
8.8,0.999999,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0
9.0,0.999999,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0
9.2,0.999999,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0
9.4,0.999999,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0
9.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
