,,All Ens,All Ens,Exp(1),Exp(1),Exp(3),Exp(3),Exp(5),Exp(5)
,,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE
dataset,model,,,,,,,,
TEM,Scratch,2.585 (0.0085),1.778 (0.0081),2.583 (0.0086),1.779 (0.0077),2.582 (0.0089),1.778 (0.0077),2.582 (0.0093),1.777 (0.0077)
TEM,trTFLSTM,3.954 (0.0189),3.126 (0.0138),3.931 (0.0142),3.120 (0.0117),3.865 (0.0131),3.083 (0.0092),3.836 (0.0132),3.062 (0.0084)
TEM,trTFMLP,3.640 (0.0044),2.878 (0.0031),3.642 (0.0079),2.886 (0.0062),3.627 (0.0084),2.874 (0.0065),3.623 (0.0085),2.869 (0.0068)
TEM,trTFTF,4.034 (0.0325),3.173 (0.0185),3.981 (0.0212),3.147 (0.0124),3.889 (0.0209),3.090 (0.0120),3.857 (0.0197),3.064 (0.0122)
SOL,Scratch,0.469 (0.0016),0.255 (0.0012),0.487 (0.0017),0.317 (0.0023),0.473 (0.0015),0.289 (0.0015),0.468 (0.0016),0.271 (0.0016)
SOL,trTFLSTM,1.025 (0.0021),0.617 (0.0024),0.916 (0.0021),0.640 (0.0018),0.913 (0.0023),0.627 (0.0014),0.909 (0.0025),0.619 (0.0013)
SOL,trTFMLP,0.984 (0.0024),0.607 (0.0013),0.919 (0.0106),0.649 (0.0037),0.921 (0.0108),0.629 (0.0040),0.921 (0.0106),0.619 (0.0043)
SOL,trTFTF,1.035 (0.0009),0.595 (0.0005),0.921 (0.0013),0.633 (0.0008),0.919 (0.0014),0.614 (0.0004),0.917 (0.0016),0.605 (0.0003)
ELE,Scratch,0.279 (0.0014),0.177 (0.0008),0.279 (0.0014),0.177 (0.0009),0.279 (0.0014),0.177 (0.0009),0.279 (0.0014),0.177 (0.0009)
ELE,trTFLSTM,0.635 (0.0017),0.514 (0.0014),0.636 (0.0016),0.514 (0.0013),0.636 (0.0016),0.514 (0.0013),0.636 (0.0016),0.514 (0.0013)
ELE,trTFMLP,0.641 (0.0007),0.517 (0.0006),0.642 (0.0006),0.518 (0.0007),0.642 (0.0006),0.518 (0.0006),0.641 (0.0006),0.518 (0.0006)
ELE,trTFTF,0.659 (0.0014),0.525 (0.0012),0.658 (0.0014),0.525 (0.0011),0.657 (0.0014),0.525 (0.0011),0.657 (0.0014),0.525 (0.0011)
AIR,Scratch,6.027 (0.0456),4.382 (0.0308),5.971 (0.0409),4.317 (0.0299),5.930 (0.0578),4.245 (0.0435),5.907 (0.0785),4.205 (0.0562)
AIR,trTFLSTM,6.869 (0.0104),5.324 (0.0182),6.836 (0.0142),5.308 (0.0183),6.819 (0.0190),5.304 (0.0188),6.810 (0.0224),5.300 (0.0198)
AIR,trTFMLP,6.636 (0.0083),5.120 (0.0132),6.618 (0.0133),5.114 (0.0215),6.613 (0.0083),5.089 (0.0124),6.614 (0.0084),5.073 (0.0115)
AIR,trTFTF,6.896 (0.0104),5.308 (0.0117),6.896 (0.0099),5.297 (0.0185),6.896 (0.0104),5.330 (0.0130),6.892 (0.0116),5.325 (0.0125)
WID,Scratch,1.627 (0.0041),1.206 (0.0027),1.627 (0.0041),1.205 (0.0027),1.627 (0.0040),1.205 (0.0027),1.626 (0.0040),1.205 (0.0028)
WID,trTFLSTM,1.718 (0.0044),1.318 (0.0037),1.717 (0.0036),1.316 (0.0033),1.712 (0.0034),1.315 (0.0033),1.707 (0.0033),1.313 (0.0034)
WID,trTFMLP,1.669 (0.0015),1.255 (0.0011),1.679 (0.0135),1.258 (0.0032),1.678 (0.0150),1.258 (0.0035),1.677 (0.0165),1.258 (0.0038)
WID,trTFTF,1.740 (0.0045),1.322 (0.0037),1.739 (0.0039),1.320 (0.0029),1.734 (0.0040),1.318 (0.0029),1.731 (0.0040),1.317 (0.0029)
MET,Scratch,0.461 (0.0024),0.262 (0.0023),0.459 (0.0022),0.275 (0.0037),0.457 (0.0021),0.256 (0.0021),0.456 (0.0021),0.255 (0.0020)
MET,trTFLSTM,1.916 (0.0077),1.634 (0.0062),1.929 (0.0055),1.665 (0.0033),1.933 (0.0039),1.643 (0.0031),1.927 (0.0036),1.641 (0.0030)
MET,trTFMLP,1.981 (0.0035),1.671 (0.0018),1.965 (0.0036),1.675 (0.0013),1.957 (0.0035),1.674 (0.0011),1.952 (0.0033),1.674 (0.0010)
MET,trTFTF,1.998 (0.0080),1.673 (0.0054),1.960 (0.0032),1.679 (0.0020),1.983 (0.0029),1.671 (0.0021),1.973 (0.0022),1.670 (0.0022)
coin,Scratch,3.708 (0.0087),1.448 (0.0067),3.718 (0.0102),1.452 (0.0070),3.717 (0.0101),1.452 (0.0070),3.717 (0.0102),1.451 (0.0071)
coin,trTFLSTM,3.928 (0.0101),1.751 (0.0124),3.894 (0.0091),1.720 (0.0096),3.882 (0.0092),1.695 (0.0090),3.880 (0.0098),1.692 (0.0095)
coin,trTFMLP,3.642 (0.0026),1.392 (0.0044),3.634 (0.0023),1.382 (0.0037),3.632 (0.0023),1.369 (0.0033),3.632 (0.0023),1.368 (0.0033)
coin,trTFTF,3.858 (0.0177),1.680 (0.0225),3.842 (0.0137),1.667 (0.0205),3.829 (0.0122),1.645 (0.0137),3.825 (0.0123),1.640 (0.0137)
